sr_no,date,startup_name,industry_vertical,sub_vertical,city,investors_name,investment_type,amount_usd
1687,09-05-2016,Toko Innovations,Consumer Internet,Children\\xe2\\x80\\x99s Entertainment Portal,Bangalore,"Roopak Saluja, Vishal Khare",Seed Funding,450000
1688,09-05-2016,Rentickle,E-Commerce,"Furniture, appliances Portal",Delhi,"Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta",Seed Funding,250000
1689,10-05-2016,HealthifyMe,Consumer Internet,Health & Fitness App,Bangalore,"IDG Ventures India, Inventus Capital, Blume Ventures",Private Equity,6000000
1690,10-05-2016,Zarget,Consumer Internet,Conversion Rate Optimization Platform,Chennai,"Accel Partners, Matrix Partners, Girish Mathrubootham",Private Equity,1500000
1691,10-05-2016,InnoNano Research,Technology,Clean Water Technology,Chennai,NanoHoldings,Private Equity,18000000
1692,10-05-2016,SchoolWear,E-Commerce,School Uniform & Supplies Marketplace,Mumbai,Undisclosed investors,Seed Funding,1500000
1693,10-05-2016,Swiggy,Consumer Internet,Food Delivery Platform,Bangalore,"Norwest Venture Partners, DST Global, Accel Partners",Private Equity,7000000
1694,11-05-2016,Zenify,Consumer Internet,Home rental Discovery & Booking Portal,Bangalore,Undisclosed Investors,Private Equity,900000
1695,11-05-2016,Faircent,Consumer Internet,Online Peer to Peer Lending platform,Gurgaon,"JM Financial Products Ltd, Arun Tadanki, Doreswamy Nandkishore, Kshitij Jain",Private Equity,
1696,11-05-2016,Fractal Analytics,Technology,Data Analytics Company,Mumbai,Khazanah Nasional Berhad,Private Equity,100000000
1697,12-05-2016,Unacademy,Consumer Internet,Free Online Education Platform,Bangalore,"Blume Ventures, Rajan Anandan, Sumit Jain, Aprameya Radhakrishna, Sujeet Kumar, Phanindra Sama",Seed Funding,500000
1698,12-05-2016,Capital Float,Consumer Internet,Online Lending Platform,Bangalore,"Creation Investments Capital Management, SAIF Partners, Sequoia Capital, Aspada Ventures",Private Equity,25000000
1699,12-05-2016,Life Circle,Healthcare,Senior Healthcare Services,Hyderabad,GROUPE SOS,Private Equity,150000
1700,12-05-2016,Dream Wallets,Consumer Internet,Online Crowdfunding platform,Jaipur,"Rakesh Gupta, Aditya Aggarwal, Siddharth Banerjee, Vikas Ranjan, Anshul Jindal, Sunil Koul, and Sanjeev Agrawal",Seed Funding,
1701,12-05-2016,ShabdNagari,Consumer Internet,Hindi social networking portal,Kanpur,ah! Ventures,Seed Funding,
1702,12-05-2016,Galleri5,Consumer Internet,Visual Content Discovery platform,Bangalore,"Phanindra Sama, Raghunandan G,",Seed Funding,
1703,12-05-2016,Derbii,Logistics,Carpooling Services,Gurgaon,Anurag Chauhan,Seed Funding,
1704,13-05-2016,StayZilla,Consumer Internet,Budget Room Aggregator Booking platform,Chennai,"Matrix Partners, Nexus Ventures",Private Equity,13500000
1705,13-05-2016,WoW Express,Logistics,E-Commerce Logistics Solutions,Mumbai,Undisclosed Investors & Tamarind Family Private Trust,Private Equity,2200000
1706,16-05-2016,Smartivity,E-Commerce,Smart Learning products,Delhi,"S Chand, AdvantEdge Partners",Private Equity,1000000
1707,16-05-2016,BedBathMore,Consumer Internet,Home Decor eMarketplace,Mumbai,"Kinnevik Group, Rocket Internet",Private Equity,
1708,17-05-2016,Murgency,Consumer Internet,Medical Emergency Response App,Mumbai,Rata Tata,Private Equity,
1709,17-05-2016,Crownit,Consumer Internet,Mobile customer rewards management platform,Gurgaon,"Undisclosed investors, Accel Partners, Helion Venture Partners",Private Equity,
1710,17-05-2016,Blinge,E-Commerce,Apparel Rental platform,Mumbai,"Anupam Mittal, Anuj Srivastava, Ankit Nagori",Seed Funding,
1711,18-05-2016,TheSmartQ,Consumer Internet,Food Ordering Mobile App,Bangalore,YourNest Angel Fund,Seed Funding,250000
1712,18-05-2016,PurpleHealth,Consumer Internet,Online health-on-demand platform,Trivandrum,Katabole Technology Venture,Seed Funding,100000
1713,18-05-2016,Fundamentor,Education,Aptitude Development Program,Pune,Subramanya SV,Seed Funding,
1714,18-05-2016,EduPristine,Education,Online Certification Courses,Mumbai,"Kaizen Management Advisors, DeVry Inc",Private Equity,10000000
1715,18-05-2016,BhiveWorkspace,Reality,Co-Working Spaces,Bangalore,Blume Ventures,Private Equity,1000000
1716,18-05-2016,Parentlane,Consumer Internet,Parenting & Child Care app,Bangalore,"Sujeet Kumar, Aprameya, Sumit Jain, Subramanya Venkat, Venk, Ravi Machani, Hitesh Gupta, Rohit Choudhary",Seed Funding,
1717,19-05-2016,Appie,Consumer Internet,Location-based offline retail discovery platform,Mumbai,Undisclosed investors,Seed Funding,1000000
1718,19-05-2016,Niki.ai,Technology,Artificial Intelligence Platform,Bangalore,Ratan Tata,Private Equity,
1719,19-05-2016,TaxiVaxi,Consumer Internet,Cab Aggregating Platform,Delhi,Undisclosed HNIs,Seed Funding,500000
1720,19-05-2016,Veqta,Consumer Internet,On Demand Digital Sports Network,Delhi,"Chatsworth Management, ITW Digital",Seed Funding,500000
1721,20-05-2016,i2ifunding,Consumer Internet,Online Peer to Peer Funding,Noida,Undisclosed Investors,Seed Funding,300000
1722,23-05-2016,EduRev,Consumer Internet,Online Learning Platform,Gurgaon,Pradeep Reddy Kamasan,Seed Funding,
1723,23-05-2016,Hoppingo,Consumer Internet,Fashion Discovery platform,Delhi,vCommission,Seed Funding,89000
1724,24-05-2016,Eatonomist,Consumer Internet,Food Delivery Platform,Gurgaon,MCube Capital Advisors Pvt Ltd,Seed Funding,
1725,24-05-2016,Goalwise,Consumer Internet,Online investment platform,Bangalore,Undisclosed HNIs,Seed Funding,1000000
1726,25-05-2016,Roast,Consumer Internet,Mobile entertainment App,Delhi,Indian Angel Network,Seed Funding,
1727,25-05-2016,Address Health,Healthcare,Pediatric Primary Healthcare Network,Bangalore,Gray Matters Capital,Private Equity,1500000
1728,25-05-2016,Arcatron Mobility,Technology,Mobility Devices for differently abled,Pune,Sudhir Mehta,Seed Funding,100000
1729,25-05-2016,SheThePeople,Consumer Internet,Digital platform for Women,Delhi,Anand Mahindra,Seed Funding,
1730,26-05-2016,Cleartax,Consumer Internet,Online Income Tax Filing platform,Bangalore,"FF Angel, Sequoia Capital",Private Equity,2000000
1731,26-05-2016,Consure Medical,Healthcare,Medical Devices Kit manufacturer,Delhi,"Accel Partners, Indian Angel Network, India Innovation Fund India Venture Partners",Private Equity,
1732,26-05-2016,mChamp,Consumer Internet,Celebrity Entertainment Contest App,Delhi,MoMagic Technologies,Seed Funding,475000
1733,27-05-2016,Pianta,Consumer Internet,Online healthcare service discovery platform,Bangalore,"Kunal Shah, Sandeep Tandon",Seed Funding,
1734,30-05-2016,Vahanalytics,Technology,Safe driving Analytics platform,Mumbai,"Anirudh Damani, Vikram Lakhotia",Seed Funding,200000
1735,31-05-2016,Play Your Sport,Consumer Internet,Location based Sports & Fitness Discovery App,Delhi,Ashish Gupta and other undisclosed investors,Seed Funding,
1736,31-05-2016,Koovs,E-Commerce,Apparel & Lifestyle eTailer,Delhi,HT Media Ltd,Private Equity,4400000
1737,31-05-2016,CCavenue,Consumer Internet,Payment Gateway,Mumbai,NSI Infinium Global Pvt. Ltd,Private Equity,8900000
1738,31-05-2016,1mg,E-Commerce,Online Pharmacy,Gurgaon,HBM Healthcare Investments,Private Equity,
1739,31-05-2016,Tpot,Food & Beverage,QSR Chain,Gurgaon,Ashish Gupta,Seed Funding,
1740,31-05-2016,MachaDalo,Consumer Internet,Hyperlocal Advertising Platform,Mumbai,Undisclosed Investors,Seed Funding,175000
1741,01-04-2016,Dil Mil,Consumer Internet,Matchmaking Mobile App,SFO / Bangalore,"Nelstone Ventures, Transmedia Capital, Maiden Lane Ventures, CSC Upshot & Angel investors",Private Equity,2700000
1742,01-04-2016,PicsDream,Consumer Internet,Online Marketplace for Photographers,Delhi,Raman Roy,Seed Funding,
1743,01-04-2016,Process 9,Consumer Internet,online translation and transliteration,Gurgaon,"Indian Angel Network, Alok Sharma, Kris Gopalakrishnan, Saurabh Srivastava, and Ajai Chowdhry",Seed Funding,
1744,04-04-2016,Housing,Consumer Internet,Real Estate Portal,Mumbai,Vineet Singh,Private Equity,
1745,04-04-2016,Roll Mafia,Food & Beverage,Rolls & Biryanis QSR chain,Pune,Equentia Natural Resource & Other undisclosed investors,Seed Funding,
1746,04-04-2016,Hungama,Consumer Internet,Digital Media Entertainment Portal,Mumbai,Xiaomi Inc,Private Equity,25000000
1747,04-04-2016,Highway Delite,Consumer Internet,Various Highway Help Services,Bangalore,N.S. Raghavan Centre for Entrepreneurial Learning,Seed Funding,
1748,05-04-2016,Cult Fitness,Healthcare,Healthcare training programs,Bangalore,Mukesh Bansal,Seed Funding,
1749,05-04-2016,Haptik,Technology,Personal Assistant App,Mumbai,Times Internet Ltd,Private Equity,
1750,05-04-2016,Servify,Consumer Internet,Gadget & Appliances Service App,Mumbai,"Blume Ventures, Barkawi Holdings GmbH, TM Service Technology Holdings GmbH",Private Equity,
1751,06-04-2016,Shipsy,Logistics,Logistics Solutions,Gurgaon,DTDC Express Ltd,Private Equity,1000000
1752,06-04-2016,gear6,Consumer Internet,Online bike service and repairs platform,Bangalore,Ninestarter,Seed Funding,500000
1753,06-04-2016,MyGlamm,Consumer Internet,Mobile based on-demand Beauty Services platform,Mumbai,L\\xe2\\x80\\x99Occitane,Private Equity,6000000
1754,06-04-2016,Petoo,Consumer Internet,Online Food Delivery Platform,Bangalore,Axilor Ventures,Private Equity,1000000
1755,07-04-2016,Truly Social,Consumer Internet,Mobile Gaming Studio,London,Nazara Technologies Pvt Ltd,Private Equity,
1756,08-04-2016,Little Black Book,Consumer Internet,"Curated Food, event & Lifestyle guide",Delhi,"IDG, Indian Angel Network",Seed Funding,
1757,08-04-2016,Vahan,Education,Mobile Education Platform,Chennai,Villgro,Seed Funding,
1758,08-04-2016,imedilane,Consumer Internet,Online Health Diagnosis platform,Delhi,"Mahendra Patel, Nilender Chauhan",Seed Funding,40000
1759,11-04-2016,Living Local,Consumer Internet,Social discovery platform,Mumbai,Rattan Chadha,Seed Funding,200000
1760,11-04-2016,Vegfru,E-Commerce,Online Fruit & Vegetable Marketplace,Delhi,Wingify,Seed Funding,
1761,11-04-2016,Oyo,Consumer Internet,Online Branded Budget Room Booking Service,Delhi,"Softbank, Sequoia Capital, Lightspeed Venture Partners, Greenoaks Capital, DSG Consumer Partners and Venture Nursery",Private Equity,100000000
1762,11-04-2016,PriceRaja,Consumer Internet,Price Comparison Portal,Gurgaon,Prashant Puri,Seed Funding,300000
1763,12-04-2016,MagicX,Consumer Internet,On-Demand Task Management App,Bangalore,"Kris Gopalakrishnan, Dr. Ranjan Pai",Seed Funding,1000000
1764,12-04-2016,Happydemic,Consumer Internet,Artist Discovery & Booking platform,Mumbai,Shaan,Seed Funding,
1765,12-04-2016,LenDenClub,Finance,Peer-to-Peer Lending Platform,Mumbai,"Anirudh Damani, Daud Ali, Narendra Karnavat, Vikas Kapoor, Vikram Lakhotia, Krishna Jhunjhunwaala, Jayesh Shah",Seed Funding,
1766,12-04-2016,Indi.com,Consumer Internet,Video Social Network,,Anil Kapoor,Seed Funding,
1767,13-04-2016,Legalraasta,Consumer Internet,Online legal Services for Startups,Delhi,"Pravin Khandelwal, Yatin Kumar Jain",Seed Funding,1000000
1768,13-04-2016,RainCan,Consumer Internet,Subscription-based grocery delivery Mobile App,Pune,Dr. Aniruddha Malpani,Seed Funding,150000
1769,13-04-2016,Hippily,E-Commerce,Fashion ECommerce App,Mumbai,"Dr. Sridhar Ramaswamy, Rakesh Mathur",Seed Funding,250000
1770,13-04-2016,kredX,E-Commerce,Invoice discounting\\xc2\\xa0 Marketplace,Bangalore,"Prime Venture Partners,",Seed Funding,750000
1771,14-04-2016,Wedwise,Consumer Internet,Wedding related services community,Delhi,StartUp Equity Partners,Seed Funding,
1772,14-04-2016,BeaconsTalk,Technology,contextual mobile advertising,Mumbai,"Rajeev Agrawal, Prashant Gooty",Seed Funding,100000
1773,15-04-2016,Deal 4Loans,Consumer Internet,Loan Comparison Portal,Noida,"Ram Shriram, Neeraj Arora, Puru Vashishtha",Seed Funding,
1774,15-04-2016,RenewBuy,Consumer Internet,Online Car & Bike Insurance Comparison portal,Delhi,Mount Nathan Advisors,Seed Funding,1000000
1775,15-04-2016,Blue Box Media,Consumer Internet,Online Tech Portals,Jaipur,"Mahavir Pratap Sharma, Ajay Data, Yogesh Chaudhary, Sanjay Phophaliya, Siddharth Agarwal, Kamal Kothari",Seed Funding,
1776,15-04-2016,Vyomo,Consumer Internet,On-Demand Beauty Service provider,Delhi,Naturals Salon Chain,Private Equity,15000000
1777,15-04-2016,Organicshop,E-Commerce,Marketplace for organic products,Jaipur,"Vivek Nathani, Yogesh Chaudhary, Mahavir Pratap Sharma, Kamal Kothari, H C Jain",Seed Funding,
1778,15-04-2016,MInd Your Fleet,Consumer Internet,Car Rental Software,Noida,Undisclosed Investors,Seed Funding,
1779,15-04-2016,NestAway,Consumer Internet,Furnished Home Rental Platform,Bangalore,Tiger Global,Private Equity,30000000
1780,15-04-2016,Tapchief,Consumer Internet,Expert Advice Platform,Bangalore,Vijay Shekhar Sharma,Seed Funding,150000
1781,18-04-2016,Rapido,Consumer Internet,Bike Aggregator App,Bangalore,"Pawan Munjal, AdvantEdge Partners, Astarc Ventures",Private Equity,
1782,18-04-2016,Yufta,E-Commerce,Women\\xe2\\x80\\x99s Fashion ECommerce Portal,Bangalore,Ajay Data & other HNIs,Seed Funding,
1783,18-04-2016,Smytten,E-Commerce,Online Discovery and Shopping Platform,Gurgaon,Rajan Anandan,Seed Funding,
1784,18-04-2016,Houssup,Consumer Internet,interior design and home furnishing portal,Jaipur,"Mitin Patel, Gaurav Agarwal",Seed Funding,
1785,18-04-2016,Jugnoo,Consumer Internet,On-demand Delivery & Logistics platform,Chandigarh,Paytm & existing investors,Private Equity,10000000
